Game Started,MP,FGA,2PA,3PA,FTA,PER,AST%,TOV%,USG%,OWS,ORtg,OBPM,DWS,MP_(POI_Per_Game),FGA_(POI_Per_Game),2PA_(POI_Per_Game),3PA_(POI_Per_Game),FTA_(POI_Per_Game),ORB,DRB,TRB,AST,TOV,PTS,PTS_3,PTS_5,PTS_7,PTS_10,Player,Date2,Opp
1,37.0,17,10,7,8,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,2.6,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,14.0,14.6,14.0,13.2,Aaron Gordon,2019-01-06,LAC
1,31.0,14,11,3,0,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,2.9,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,20.333333333333332,18.0,18.285714285714285,19.2,Aaron Gordon,2018-11-25,LAL
1,39.0,8,5,3,2,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,2.5,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,21.0,17.8,18.714285714285715,17.9,Aaron Gordon,2019-03-22,MEM
1,37.0,17,13,4,2,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,3.4,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,12.333333333333334,16.0,15.142857142857142,16.3,Aaron Gordon,2019-03-26,MIA
1,29.0,15,14,1,3,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,4.3,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,17.333333333333332,15.6,17.571428571428573,16.8,Aaron Gordon,2019-02-09,MIL
1,32.0,13,9,4,8,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,3.2,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,14.333333333333334,16.4,16.285714285714285,17.1,Aaron Gordon,2019-02-07,MIN
1,30.0,15,8,7,2,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,1.9,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,18.666666666666668,17.4,18.0,18.5,Aaron Gordon,2019-03-20,NOP
1,40.0,14,10,4,6,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,2.2,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,16.333333333333332,15.0,14.285714285714286,15.6,Aaron Gordon,2019-04-03,NYK
1,36.0,11,6,5,9,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,4.9,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,13.666666666666666,17.2,17.0,18.1,Aaron Gordon,2019-02-05,OKC
1,35.0,12,8,4,0,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,3.8,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,15.666666666666666,16.2,16.0,16.2,Aaron Gordon,2019-03-25,PHI
1,42.0,10,7,3,0,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,1.7,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,13.333333333333334,11.2,12.285714285714286,14.3,Aaron Gordon,2018-12-26,PHO
1,28.0,11,6,5,6,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,3.3,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,12.666666666666666,15.0,14.714285714285714,14.0,Aaron Gordon,2018-10-25,POR
