Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,LAL,NBA,82,37,45,0.451,241.2,42.6,90.6,32.2,59.6,10.3,31,16.3,23.3,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8
2016-17,CHO,NBA,82,36,46,0.439,241.8,37.7,85.4,27.7,56.7,10,28.6,19.4,23.8,8.8,34.8,43.6,23.1,7,4.8,11.5,16.6,104.9
2017-18,CHO,NBA,82,36,46,0.439,241.2,39,86.7,28.9,59.4,10,27.2,20.2,27,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2
2017-18,CHO,NBA,82,36,46,0.439,241.2,39,86.7,28.9,59.4,10,27.2,20.2,27,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2
2017-18,LAL,NBA,82,35,47,0.427,242.7,40.7,88.4,30.7,59.3,10,29.1,16.6,23.3,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1
2015-16,ORL,NBA,82,35,47,0.427,242.7,39.5,86.8,31.8,64.7,7.8,22.2,15.2,20.1,10.3,33,43.3,23.6,8.2,5.1,14.1,20.7,102.1
2016-17,NOP,NBA,82,34,48,0.415,242.7,39.1,87,29.8,60.2,9.4,26.8,16.7,22.3,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3
2015-16,DEN,NBA,82,33,49,0.402,241.8,37.7,85.4,29.7,61.7,8,23.7,18.5,24.1,11.5,33.1,44.6,22.7,7.4,4.8,14.7,21,101.9
2018-19,NOP,NBA,82,33,49,0.402,240.9,43.7,92.2,33.4,62.4,10.3,29.9,17.8,23.4,11.1,36.2,47.3,27,7.4,5.4,14.8,21.1,115.4
2016-17,DAL,NBA,82,33,49,0.402,241.2,36.2,82.3,25.5,52.2,10.7,30.2,14.8,18.5,7.9,30.7,38.6,20.8,7.5,3.7,11.9,19.1,97.9
2015-16,SAC,NBA,82,33,49,0.402,241.5,40,86.4,32,64,8,22.4,18.5,25.5,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6
2014-15,CHO,NBA,82,33,49,0.402,242.7,35.5,84.5,29.5,65.4,6.1,19.1,17,22.8,10,34.1,44.1,20.2,6.1,5.5,11.9,18.2,94.2
2018-19,DAL,NBA,82,33,49,0.402,241.2,38.8,86.9,26.3,50.2,12.5,36.6,18.8,25.3,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9
2018-19,MEM,NBA,82,33,49,0.402,242.4,38,84.4,28.1,55.6,9.9,28.9,17.7,23,8.8,33,41.8,23.9,8.3,5.5,14,22,103.5
2015-16,MIL,NBA,82,33,49,0.402,241.8,38.4,82.2,33,66.6,5.4,15.6,17,22.7,10.5,31.2,41.7,23.1,8.2,5.8,15.2,20.7,99
2014-15,DET,NBA,82,32,50,0.39,241.8,37.1,85.8,28.5,60.9,8.6,24.9,15.8,22.4,12.8,32.1,44.9,21.6,7.6,4.7,13.4,19,98.5
2018-19,WAS,NBA,82,32,50,0.39,243,42.1,90.1,30.8,56.8,11.3,33.3,18.4,23.9,9.7,32.7,42.4,26.3,8.3,4.6,14.1,20.7,114
2016-17,SAC,NBA,82,32,50,0.39,242.4,37.9,82.1,28.9,58.2,9,23.9,18.1,23.3,8.7,32.3,41.1,22.5,7.6,4,14.6,20.3,102.8
2015-16,NYK,NBA,82,32,50,0.39,241.5,36.9,84,29.4,62.5,7.4,21.5,17.2,21.4,10.4,34,44.4,20.5,5.7,5.7,13.4,19.7,98.4
2016-17,MIN,NBA,82,31,51,0.378,241.5,39.5,84.4,32.1,63.4,7.3,21,19.3,24.2,11.4,31,42.4,23.7,8,4.5,14,20.1,105.6
2016-17,NYK,NBA,82,31,51,0.378,242.1,39.6,88.5,31,63.8,8.6,24.7,16.6,21.1,12,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3
2015-16,NOP,NBA,82,30,52,0.366,241.2,38.5,85.9,29.9,62.1,8.6,23.8,17.3,22.2,9.5,33.1,42.6,22.2,7.7,4.2,13.4,20.9,102.7
2014-15,DEN,NBA,82,30,52,0.366,242.4,37.8,87.3,29.7,62.5,8,24.8,17.8,24.3,12.3,32.4,44.7,21.8,7.8,4.5,14.2,23,101.5
2018-19,ATL,NBA,82,29,53,0.354,242.1,41.4,91.8,28.4,54.8,13,37,17.6,23.4,11.6,34.5,46.1,25.8,8.2,5.1,17,23.6,113.3
2017-18,NYK,NBA,82,29,53,0.354,241.8,40.7,87.7,32.5,64.4,8.2,23.3,14.9,19,10.5,33.6,44,23.3,6.7,5.1,14.7,20.5,104.5
2015-16,MIN,NBA,82,29,53,0.354,242.4,37.7,81.3,32.2,64.9,5.5,16.4,21.4,27,10,31.5,41.6,23.4,8,4.6,15,20.7,102.4
2014-15,SAC,NBA,82,29,53,0.354,242.1,36.7,80.7,31.1,64.2,5.6,16.5,22.3,29.3,10.9,33.3,44.2,20.3,6.7,4,16.3,20.7,101.3
2016-17,ORL,NBA,82,29,53,0.354,241.5,38.3,87,29.7,60.9,8.5,26.1,16,21.4,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1
2016-17,PHI,NBA,82,28,54,0.341,241.8,37.7,85.3,27.5,55.5,10.1,29.8,17,22,9.8,33,42.8,23.8,8.4,5.1,16.7,21.9,102.4
2017-18,BRK,NBA,82,28,54,0.341,242.1,38.2,86.8,25.5,51.1,12.7,35.7,17.4,22.6,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6
2017-18,CHI,NBA,82,27,55,0.329,242.1,38.7,88.8,27.6,57.8,11,31.1,14.6,19.2,9.6,35,44.7,23.5,7.6,3.5,14,19.2,102.9
2017-18,SAC,NBA,82,27,55,0.329,240.9,38.8,86.1,29.8,62.1,9,24,12.3,16.7,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20,98.8
2016-17,LAL,NBA,82,26,56,0.317,240.3,39.3,87.4,30.4,61.6,8.9,25.7,17,22.6,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6
2014-15,ORL,NBA,82,25,57,0.305,240.9,37.5,82.8,30.8,63.3,6.8,19.5,13.9,19.1,10,31.8,41.8,20.6,7.9,3.8,14.9,20.9,95.7
2017-18,ORL,NBA,82,25,57,0.305,240.6,38.8,85.9,28.5,56.5,10.3,29.3,15.5,20.5,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4
2017-18,DAL,NBA,82,24,58,0.293,241.5,38.1,85.9,26.4,53.1,11.8,32.8,14.2,18.7,8.1,33.1,41.3,22.7,7,3.8,12.3,19.2,102.3
2017-18,ATL,NBA,82,24,58,0.293,240.3,38.2,85.5,27,54.5,11.2,31,15.8,20.2,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4
2016-17,PHO,NBA,82,24,58,0.293,241.8,39.9,88.5,32.4,65.9,7.5,22.6,20.4,26.3,11.9,33.1,45,19.6,8.2,4.9,15.4,24.8,107.7
2015-16,PHO,NBA,82,23,59,0.28,240.3,37.2,85.6,28.2,59.8,9,25.8,17.5,23.2,11.5,33.3,44.8,20.7,7.7,3.8,17.2,22.7,100.9
