Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%_Team,TOV%_Team,ORB%_Team,FT/FGA_Team,eFG%_Opp,TOV%_Opp,ORB%_Opp,FT/FGA_Opp
2014-15,POR*,NBA,82,51,31,0.622,4.23,0.18,4.41,94.2,108.2,103.7,0.508,12.6,24.2,0.18,0.476,11.3,23.8,0.182
2016-17,CLE*,NBA,82,51,31,0.622,3.18,-0.31,2.87,96.2,113.6,110.3,0.547,12.6,21.9,0.206,0.516,11.4,24.2,0.174
2016-17,LAC*,NBA,82,51,31,0.622,4.29,0.13,4.42,96.1,112.7,108.2,0.537,12,21.5,0.233,0.506,12.1,23.1,0.211
2016-17,TOR*,NBA,82,51,31,0.622,4.21,-0.56,3.65,94.7,112.3,107.8,0.517,11.8,25,0.233,0.507,13.5,23.7,0.223
2016-17,UTA*,NBA,82,51,31,0.622,3.94,0.06,4,91.6,109.6,105.3,0.526,13.2,23.2,0.215,0.493,11.8,21.1,0.195
2018-19,PHI*,NBA,82,51,31,0.622,2.7,-0.44,2.25,101.6,112.6,110,0.532,12.9,24.5,0.241,0.512,11.1,21.4,0.206
2014-15,CHI*,NBA,82,50,32,0.61,3,-0.46,2.54,92.8,107.5,104.3,0.489,12.9,27,0.238,0.473,11.3,25.6,0.182
2014-15,DAL*,NBA,82,50,32,0.61,2.9,0.46,3.36,95.2,109.5,106.4,0.515,11.9,23.6,0.197,0.503,14.7,27.8,0.204
2017-18,CLE*,NBA,82,50,32,0.61,0.94,-0.35,0.59,98,112.9,111.9,0.547,12.6,20.1,0.214,0.54,12.2,22.7,0.166
2018-19,UTA*,NBA,82,50,32,0.61,5.26,0.03,5.28,100.3,110.9,105.7,0.538,13.4,22.9,0.217,0.507,12.4,19.7,0.189
2014-15,TOR*,NBA,82,49,33,0.598,3.07,-0.62,2.45,92.8,111,107.7,0.508,12,25.6,0.232,0.506,13.4,26.7,0.208
2016-17,WAS*,NBA,82,49,33,0.598,1.8,-0.45,1.36,97.4,111.2,109.3,0.528,12.8,24.1,0.199,0.524,13.8,24.5,0.213
2017-18,POR*,NBA,82,49,33,0.598,2.6,0,2.6,96.5,109.1,106.4,0.511,12.3,23.3,0.192,0.503,11.7,20.9,0.193
2018-19,BOS*,NBA,82,49,33,0.598,4.44,-0.54,3.9,99.6,112.2,107.8,0.534,11.5,21.6,0.173,0.514,13.4,23,0.198
2018-19,OKC*,NBA,82,49,33,0.598,3.4,0.15,3.56,102.8,110.3,107,0.514,11.7,26,0.19,0.523,14.4,21.8,0.206
2015-16,ATL*,NBA,82,48,34,0.585,3.61,-0.12,3.49,97.1,105.1,101.4,0.516,13.8,19.1,0.185,0.48,14.4,25.4,0.194
2015-16,BOS*,NBA,82,48,34,0.585,3.21,-0.37,2.84,98.5,106.8,103.6,0.488,12.1,25.1,0.208,0.487,14.6,25.4,0.231
2015-16,CHO*,NBA,82,48,34,0.585,2.72,-0.36,2.36,95.7,107.1,104.3,0.502,11.7,20,0.222,0.496,12.5,20.2,0.191
2015-16,MIA*,NBA,82,48,34,0.585,1.65,-0.14,1.5,93.6,106.1,104.4,0.508,13.3,23.8,0.21,0.485,12.1,22.2,0.196
2017-18,IND*,NBA,82,48,34,0.585,1.38,-0.2,1.18,96,109.5,108.1,0.525,12.3,22.7,0.173,0.527,14.2,23.8,0.174
2017-18,NOP*,NBA,82,48,34,0.585,1.3,0.18,1.48,100.5,109.6,108.3,0.541,13.3,20,0.183,0.513,12.5,23.3,0.175
