Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
Dennis Schroder,2016-17,23,ATL,NBA,3.7,79,78,2485,16.1,0.242,0.21,1.9,9,5.5,35.5,1.5,0.6,16.3,27.8,103,109,1.2,2.5,0.071,0.7,-1.4,-0.7,0.8
J.R. Smith,2014-15,29,TOT,NBA,3.7,70,51,2080,13.6,0.564,0.095,1.7,10.4,6,15.6,2.1,0.8,11,19.3,107,108,2.2,1.5,0.085,1.7,-1,0.7,1.4
Deron Williams,2015-16,31,DAL,NBA,3.7,65,63,2106,14.6,0.364,0.266,1,8.9,5,29.3,1.5,0.6,14.8,22,105,109,2.2,1.4,0.083,0.9,-1,-0.1,1
Chris Andersen,2014-15,36,MIA,NBA,3.6,60,20,1132,16.1,0.063,0.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,121,103,2.1,1.5,0.151,-1.2,2.3,1,0.9
Marvin Bagley,2018-19,19,SAC,NBA,3.6,62,4,1567,18.9,0.136,0.371,10.4,20.8,15.5,5.9,1,3.2,10.7,24.2,111,110,2,1.6,0.11,-1.2,-0.7,-1.8,0.1
Harrison Barnes,2018-19,26,TOT,NBA,3.6,77,77,2533,12.8,0.429,0.271,2.4,12.7,7.5,6.7,0.9,0.4,7.9,20.9,108,114,2,1.6,0.068,-0.6,-1.8,-2.3,-0.2
Trevor Booker,2014-15,27,UTA,NBA,3.6,79,5,1564,15.3,0.181,0.319,10.3,19,14.7,9,1.5,2.1,14.3,18.1,107,104,1.7,1.9,0.11,-0.6,0.7,0.2,0.9
Chris Bosh,2014-15,30,MIA,NBA,3.6,44,44,1556,19.8,0.226,0.311,3.6,20,12,12,1.4,1.4,10.1,28.4,106,106,2.1,1.5,0.111,1,-1,-0.1,0.8
Omri Casspi,2015-16,27,SAC,NBA,3.6,69,21,1880,13.9,0.441,0.256,3.4,20.1,11.8,7.5,1.4,0.7,12,17.8,109,108,2.1,1.5,0.092,0.3,-0.6,-0.3,0.8
Wilson Chandler,2014-15,27,DEN,NBA,3.6,78,75,2471,13.2,0.416,0.146,4.1,17.2,10.4,8.9,1.2,0.9,9.6,20.1,104,109,2.1,1.5,0.071,0.5,-0.4,0.2,1.3
Jamal Crawford,2014-15,34,LAC,NBA,3.6,64,4,1703,16.6,0.434,0.3,1.2,6.9,4.1,14.9,1.8,0.7,8.8,27.6,106,109,2.5,1.2,0.102,1.7,-2.7,-1,0.4
Boris Diaw,2014-15,32,SAS,NBA,3.6,81,15,1984,12.7,0.267,0.147,4.5,15.2,10,17.9,0.9,0.9,15.8,18.3,103,105,1.3,2.3,0.088,-0.6,0.7,0.1,1.1
Monta Ellis,2014-15,29,DAL,NBA,3.6,80,80,2699,16.5,0.21,0.224,1.4,6.4,3.9,20.5,2.8,0.8,11.7,27.9,100,107,1.4,2.2,0.065,0.7,-0.7,-0.1,1.3
Jeff Green,2018-19,32,WAS,NBA,3.6,77,44,2097,13.6,0.466,0.3,2.9,13.3,8,9.2,1,1.6,11.5,17.8,115,116,2.8,0.8,0.083,0.2,-1.4,-1.2,0.4
Gerald Henderson,2014-15,27,CHO,NBA,3.6,80,72,2315,13.2,0.161,0.256,1.7,11.6,6.5,15.6,1.1,0.7,10.5,20.7,102,106,1.3,2.3,0.074,-1.2,-0.4,-1.5,0.3
John Henson,2014-15,24,MIL,NBA,3.6,67,11,1228,18,0,0.396,11.7,17.4,14.5,7.8,1.2,9.3,17.6,18.1,106,98,1.3,2.4,0.142,-1.9,4.6,2.7,1.5
Dwight Howard,2014-15,29,HOU,NBA,3.6,41,41,1223,19.2,0.005,0.641,10,28.9,19.5,7.3,1.1,3.4,17.5,23.3,105,100,1.4,2.2,0.14,-2.4,1.2,-1.2,0.3
Tyus Jones,2017-18,21,MIN,NBA,3.6,82,11,1467,14.1,0.393,0.247,1.2,9.2,5.2,21.2,3.2,0.4,14,12.7,119,110,2.3,1.2,0.117,0.8,-0.3,0.5,0.9
Frank Kaminsky,2017-18,24,CHO,NBA,3.6,79,4,1835,14.4,0.383,0.271,2.7,14.5,8.5,11,1,0.9,7.6,20.5,110,111,2.3,1.3,0.094,0.3,-1.2,-0.9,0.5
C.J. Miles,2014-15,27,IND,NBA,3.6,70,40,1841,14.1,0.539,0.195,1.1,11.7,6.4,7.1,1.7,1.1,7.5,23.9,103,104,1.3,2.3,0.093,1,-1.3,-0.3,0.8
Kelly Olynyk,2014-15,23,BOS,NBA,3.6,64,13,1423,15.9,0.331,0.258,7,16.5,11.7,12.2,2.3,2.1,14.3,21.1,105,102,1.5,2.1,0.12,0.7,1.4,2.1,1.5
Jabari Parker,2015-16,20,MIL,NBA,3.6,76,72,2408,14.8,0.039,0.254,5.9,12.8,9.4,8.9,1.5,1,10.4,20.9,106,111,2.4,1.2,0.072,-0.9,-1.5,-2.4,-0.2
Patrick Patterson,2015-16,26,TOR,NBA,3.6,79,0,2020,10.6,0.594,0.069,4.4,14.8,9.7,7.1,1.4,1.3,11.3,12.9,108,107,1.6,2,0.086,0.4,0.6,1,1.5
Mason Plumlee,2017-18,27,DEN,NBA,3.6,74,26,1439,16.9,0.003,0.486,10.4,20.9,15.6,14.4,1.7,4.7,18.7,16.6,112,107,1.8,1.8,0.12,-0.9,2.7,1.8,1.4
Willie Reed,2016-17,26,MIA,NBA,3.6,71,5,1031,17.1,0.014,0.309,13.7,22,17.8,3.9,0.9,3.6,8.7,15.3,122,105,2.1,1.5,0.168,-1.3,0.7,-0.6,0.4
Rajon Rondo,2017-18,31,NOP,NBA,3.6,65,63,1705,15.3,0.304,0.093,2,14.2,8.4,42.2,2,0.5,22.7,16.9,109,109,1.9,1.7,0.101,-0.4,-0.7,-1.1,0.4
Terrence Ross,2015-16,24,TOR,NBA,3.6,73,7,1747,12.9,0.542,0.099,1.4,10.6,6.1,5.3,1.6,1.2,6.6,18.2,110,107,2.1,1.6,0.1,1.1,-1.2,-0.2,0.8
